label,ciphertext
c,"ZNKIUTYZOZAZOUTULZNKXKVAHROIULQUXKG"
c,"INGVZKXMKTKXGRVXUBOYOUTY"
c,"ZNKXKVAHROIULQUXKGYNGRRHKGJKSUIXGZOIXKVAHROI"
c,"ZNKYUBKXKOMTZEULZNKXKVAHROIULQUXKGYNGRRXKYOJKOTZNKVKUVRKGTJGRRYZGZKGAZNUXOZEYNGRRKSGTGZKLXUSZNKVKUVRK"
c,"TGZOUTGROZEOTZNKXKVAHROIULQUXKGYNGRRHKVXKYIXOHKJHEGIZ"
c,"OZYNGRRHKZNKJAZEULZNKYZGZKZUVXUZKIZIOZOFKTYXKYOJOTMGHXUGJGYVXKYIXOHKJHEGIZ"
c,"ZNKZKXXOZUXEULZNKXKVAHROIULQUXKGYNGRRIUTYOYZULZNKQUXKGTVKTOTYARGGTJOZYGJPGIKTZOYRGTJYZNKXKVAHROIULQUXKGYNGRRYKKQATOLOIGZOUTGTJYNGRRLUXSARGZKGTJIGXXEUAZGVUROIEULVKGIKLARATOLOIGZOUTHGYKJUTZNKVXOTIOVRKYULLXKKJUSGTJJKSUIXGIE"
c,"ZNKXKVAHROIULQUXKGYNGRRKTJKGBUXZUSGOTZGOTOTZKXTGZOUTGRVKGIKGTJYNGRRXKTUATIKGRRGMMXKYYOBKCGXY"
c,"ZNKGXSKJLUXIKYYNGRRHKINGXMKJCOZNZNKYGIXKJSOYYOUTULTGZOUTGRYKIAXOZEGTJZNKJKLKTYKULZNKRGTJGTJZNKOXVUROZOIGRTKAZXGROZEYNGRRHKSGOTZGOTKJ"
c,"ZXKGZOKYJAREIUTIRAJKJGTJVXUSARMGZKJATJKXZNKIUTYZOZAZOUTGTJZNKMKTKXGRREXKIUMTOFKJXARKYULOTZKXTGZOUTGRRGCYNGRRNGBKZNKYGSKKLLKIZGYZNKJUSKYZOIRGCYULZNKXKVAHROIULQUXKG"
c,"ZNKYZGZAYULGROKTYYNGRRHKMAGXGTZKKJGYVXKYIXOHKJHEOTZKXTGZOUTGRRGCGTJZXKGZOKY"
