X^0[0]: 10110011
X^0[1]: 10100110
X^0[2]: 11011011
X^0[3]: 00111100
X^0[4]: 10000111
X^0[5]: 00001100
X^0[6]: 00111110
X^0[7]: 10011001
X^0[8]: 00100100
X^0[9]: 01011110
X^0[10]: 00001101
X^0[11]: 00011100
X^0[12]: 00000110
X^0[13]: 10110111
X^0[14]: 01000111
X^0[15]: 11011110

X^1[0]: 00100000

X^2[0]: 1001011-
X^2[1]: 100001-1
X^2[2]: 01010-01
X^2[3]: 0110-101

X^3[0]: -0101101
X^3[1]: 1-111010
X^3[2]: 01-01001
X^3[3]: 111-1001
X^3[4]: 1011-101
X^3[5]: 11111-11
X^3[6]: 011010-0
X^3[7]: 0011111-
X^3[8]: -0001111
X^3[9]: 1-000101
X^3[10]: 01-00010
X^3[11]: 010-1010
X^3[12]: 0001-100
X^3[13]: 11111-11
X^3[14]: 011011-0
X^3[15]: 0100110-
X^4[0]: -1000111
X^4[5]: 01-10000
X^4[10]: 0010-010
X^4[15]: 010001-1

X^6[0]: 00010110
X^6[2]: 00110100

X^7[0]: 00001011
X^7[1]: 01110110
X^7[2]: 01001100
X^7[3]: 10111111
X^7[4]: 11010101
X^7[5]: 10100011
X^7[6]: 01000111
X^7[7]: 10100001
X^7[8]: 00111011
X^7[9]: 01000001
X^7[10]: 10110100
X^7[11]: 11111101
X^7[12]: 11010101
X^7[13]: 10110001
X^7[14]: 00011110
X^7[15]: 00000000
